names,awb,addresses,product_id
Kristen Bing,65742300973,"1, Devarachikkanahalli Main Rd, Ramesh Reddy Layout, Maruthi Layout, Hongasandra, Bengaluru, Karnataka 560076",SKU_74
Elizabeth Law,53210985990,"Ground, Gate 9, Pebble, Palace, Bellary Rd, Bengaluru, Karnataka 560080",SKU_79
Christopher Laclair,88564552662,"27th Main Rd, Agara Village, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",SKU_24
Albert Johnson,50091905061,"3B/358,25th main, 22nd Cross Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",SKU_132
Eliza Watson,92174449914,"No 339, 27th Main Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",SKU_22
Jorge Richardson,84105582018,"25 B, 1197, 27th Cross Road, 22nd A Main, Garden Layout, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",SKU_2
Steven Hershey,47430655677,"RMR3+59R, Karuna Nagar, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",SKU_94
Mary Acosta,86425182365,"WJ4V+QQX, Garden Layout, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",SKU_28
Patrick Hudspeth,95613440547,"89, 14th Main Rd, 17th Cross Rd, Sector 4, HSR Layout, Bengaluru, Karnataka 560102",SKU_82
Donna Blodgett,82794058100,"2628, 27th Main Rd, Sector 2, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_46
Cynthia Card,76874355953,"13th Cross, #14, 9th Main Rd, Sector VI, HSR Layout, Bengaluru, Karnataka 560102",SKU_7
Alvin Welker,30378928051,"WJ8Q+F3F, Sector 5, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru, Karnataka 560034",SKU_143
Darlene Orr,43016530479,"Tech Park, Shop No-56/1, Maha Yogi Vemana Road, Babu Reddy Building Opp. to Velankani, Bengaluru, Karnataka 560100",SKU_133
Olivia Domingo,47751361853,"462, Outer Ring Rd, Opp. Fernhill Gardens Apartment, Teacher's Colony, Santhosapuram, Sector 6, HSR Layout, Bengaluru, Karnataka 560034",SKU_40
Sharon Lance,46940484784,"Neeladri Road, Karuna Nagar, Electronics City Phase 1, Doddathoguru, Karnataka 560100",SKU_38
Pedro Black,22313567819,"1136, 17th Cross Rd, Muneswara Nagar, Sector 7, HSR Layout, Bengaluru, Karnataka 560102",SKU_103
Hazel Newton,57642787992,"242 Venkatapura Teacher Colony, 6Th Main, 3rd Ave, near Icici Bank Atm, Bengaluru, Karnataka 560034",SKU_42
Pauline Corujo,99456655202,"331, Ground Floor, 27th Main Rd, PWD Quarters, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",SKU_25
Sammy Verdino,52043492764,"799, 22nd Cross Rd, Sector 3, HSR Layout, Bengaluru, Karnataka 560102",SKU_78
Wendy Rose,77341078804,"1125, 3rd Floor, Varaa, 21st A Cross, 14th Main Rd, near Glass World, Sector 3, HSR Layout, Bengaluru, Karnataka 560102",SKU_142
Tiffany Desimone,86784532164,"Gardeenia Comfortes Suites 52/56 Bommansandra Industrial Area, Hosur Rd, Electronic City, Bengaluru, Karnataka 560099",SKU_27
Ron Vermillion,83674760597,"43, 22nd Cross Rd, Sector 3, HSR Layout, Bengaluru, Karnataka 560102",SKU_31
Jose Abdullah,48607312169,"56D, Wipro Ave, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",SKU_86
Peter Mcdowell,79464048689,"81 & 82, Hosa Rd, Manjunatha Nagar, Sai Sree Layout, Parappana Agrahara, Bengaluru, Karnataka 560068",SKU_29
Joel Hathaway,76507054177,"10/11, 17th cross, 5th Main Rd, 6th sector, HSR Layout, Bengaluru, Karnataka 560068",SKU_70
Stephanie Cruz,11483082164,"1660, 27th Main Rd, Parangi Palaya, Sector 2, HSR Layout, Bengaluru, Karnataka 560103",SKU_137
Rachel Harris,32192104720,"149, 5th Main Rd, Teacher's Colony, Jakkasandra, Sector 6, HSR Layout, Bengaluru, Karnataka 560034",SKU_79
Stephen Lebo,63388131685,"Ground Floor, #1062, 22nd B main road, 22nd Cross Rd, HSR Layout, Bengaluru, Karnataka 560102",SKU_89
Lakisha Short,29778391450,"78 Ground Floor Right Wing, 14th Cross Road, 11th Main Rd, HSR Layout, Bengaluru, Karnataka 560102",SKU_8
Robert Rosenblatt,82141001976,"235/1, 12th Cross Rd, Lakkasandra, Lakkasandra Extension, Wilson Garden, Bengaluru, Karnataka 560027",SKU_18
David Dorch,91864737237,"242 Venkatapura Teacher Colony, 6Th Main, 3rd Ave, near Icici Bank Atm, Bengaluru, Karnataka 560034",SKU_125
William Fergus,15013285660,"TRENDS, No 1131 17th Cross sector 7 HSR Layout Next to Vasan eye care and opp to, Bengaluru, Karnataka 560102",SKU_121
Linda Waltz,89850331057,"GF, #780, 19th Main Rd, HSR Layout, Bengaluru, Karnataka 560102",SKU_110
Frankie Rex,95427352390,"No: 2137, 27th Main Rd, PWD Quarters, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_30
Michael Parker,82434059266,"Ground, Gate 9, Pebble, Palace, Bellary Rd, Bengaluru, Karnataka 560080",SKU_33
Betty Kish,67586661312,"17th main, 22nd A Cross Rd, 3rd sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_133
Howard Beaulieu,28617853328,"1st Block, 1702, 19th Main Rd, Garden Layout, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",SKU_96
Harold Morrison,93879095385,"Ground Floor, Shikaripalya, Near, Wipro Ave, Gollahalli, Electronics City Phase 1, Bengaluru, Karnataka 560100",SKU_63
Robert Stark,78456538847,"9, 24th Main Rd, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560068",SKU_42
Kent Alex,26082777843,"Hosur Rd, near ruchi sagar hotel, Phase 2, Electronic City, Bengaluru, Karnataka 560100",SKU_134
Elizabeth Rosen,15388595492,"Plot 30, Raja Ram Mohan Roy Rd, Sampangi Rama Nagara, Bengaluru, Karnataka 560027",SKU_39
Anna Dove,14067574905,"167, 27th Main Rd, Sector 2, Parangi Palaya, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",SKU_51
Susan Brzezowski,86020776193,"WJ5R+M63, Sector 3, HSR Layout, Bengaluru, Karnataka 560102",SKU_1
Ilene Goya,58918145588,"Building No 88, Celler Floor, 17th Cross, 14th Main Rd, near YES Bank ATM, Sector 4, HSR Layout, Bengaluru, Karnataka 560102",SKU_111
Vincent Karamchandani,97581318571,"WJ9V+R7X, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_99
Jose Stills,62227547153,"K 137, Second Floor, Neeladri Rd, Above SBI E-Corner, Karuna Nagar, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",SKU_7
Maria Ford,85636680699,"1660, 27th Main Rd, Parangi Palaya, Sector 2, HSR Layout, Bengaluru, Karnataka 560103",SKU_54
Shirley Muniz,65494225637,"#467, CK Complex, 479, 4th Ave St, Teacher's Colony, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru, Karnataka 560034",SKU_29
Maria Schleusner,55636380331,"Kammasandra Village, Hilalige Rd, Glass Factory Layout, Electronic City, Bengaluru, Karnataka 561229",SKU_119
Virginia Silva,29777528145,"227, 4th Floor, 2nd Cross, Neeladri Main Road, Electronic City Phase 1, Bengaluru, Karnataka 560100",SKU_123
James Eaton,42283867583,"171, 19th Main Rd, Sector 4, HSR Layout, Bengaluru, Karnataka 560102",SKU_42
James Williams,60069139157,"#168, Ground Floor, 9th Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102",SKU_7
Diamond Upshaw,42216083308,"376F, 6th Cross Rd, Krishna Layout, Hulimavu, Bengaluru, Karnataka 560076",SKU_96
Esther Roberts,92688715659,"WJ4R+GHC, 17th Main Rd, Sector 3, HSR Layout, Bengaluru, Karnataka 560102",SKU_75
Roberta Ford,35001642139,"1821, 24th Main Rd, Garden Layout, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",SKU_57
Joshua Gutierrez,80655149140,"27th Main Rd, HSR Layout, near PUMA Store, Bengaluru, Karnataka 560102",SKU_44
Fred Keith,38934749632,"1125, 3rd Floor, Varaa, 21st A Cross, 14th Main Rd, near Glass World, Sector 3, HSR Layout, Bengaluru, Karnataka 560102",SKU_99
