names,awb,addresses,product_id
Louis Trevino,78454533898,"No. 19, 1, Jain Temple Rd, Parvathipuram, Vishweshwarapura, Basavanagudi, Bengaluru, Karnataka 560004",SKU_66
Pedro Oliveira,34966487184,"Velankani Tech Park, Gate, 46, Velankani Drive, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",SKU_39
Raul Hernandez,42024323079,"Hotel Presidency, Konappana Agrahara, Electronic City, Doddanagamangala Village, Karnataka 560100",SKU_29
Lena Edminster,38147034991,"1, 14th Main Rd, Sector 7, HSR Layout, Bengaluru, Karnataka 560102",SKU_95
Helen Jacoby,31207519998,"Rice Trader, 7/A, 19th Main Road HSR Layout, Sector 3, C/o, Bengaluru, Karnataka 560102",SKU_123
Donald Johnson,13226413230,"Inside By The Way Food Court, Velankani Drive, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",SKU_121
Travis Nestor,49516770852,"Infosys, 4th Gate, Electronic City, Bengaluru, Karnataka 560100",SKU_134
Roland Niebuhr,88165844346,"1177, 24th Main Rd, Parangi Palaya, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",SKU_48
Kenneth Halsema,58209508280,"Hosur Rd, Singasandra, Bengaluru, Karnataka 560068",SKU_107
Michael Tyler,18009101069,"99, 4, Haralur Main Rd, Amblipura, PWD Quarters, 1st Sector, HSR Layout, Bengaluru, Karnataka 560103",SKU_112
Lillian Bells,39349200800,"Sy. No/53/16 , 2nd shop Near Celebrity Arch, Doddathoguru, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",SKU_43
Judith Patterson,74566023257,"1136, 17th Cross Rd, Muneswara Nagar, Sector 7, HSR Layout, Bengaluru, Karnataka 560102",SKU_140
Jill Nunez,56626196360,"89, 17th Cross Rd, Sector 4, HSR Layout, Bengaluru, Karnataka 560102",SKU_45
Roberto Garvin,92256327717,"Ground, Gate 9, Pebble, Palace, Bellary Rd, Bengaluru, Karnataka 560080",SKU_145
Bradley Allen,34014806979,"6th Main Rd, Behind Ajmera Motors, Rajiv Gandhi Nagar, HSR Layout, Bengaluru, Karnataka 560102",SKU_55
Hermila Basista,35410042500,"1, 14th Main Rd, Agara Village, Sector 7, HSR Layout, Bengaluru, Karnataka 560034",SKU_143
Henry Hausauer,43996792344,"WM42+62M, 337, 27th Main, Sector 2 HSR Layout Opposite KLM Shopping Mall, BDA Layout, HSR Layout, Bengaluru, Karnataka 560102",SKU_129
Evelyn Blanton,20554350265,"Hongasandra, Bengaluru, Karnataka 560068",SKU_97
Hugo Taylor,38614679718,"118, Outer Ring Rd, Nanjappa Garden, Banaswadi, Bengaluru, Karnataka 560043",SKU_114
Mark Tice,51427487679,"VJWM+PXW, Service Rd, Hongasandra, Bengaluru, Karnataka 560068",SKU_9
Paul Raines,51517268859,"Aanvi Hearing Care, 3B/358, Ground Floor, 25th Main, 22nd Cross, Hsr Layout, Sec, Sector 2, Bengaluru, Karnataka 560102",SKU_119
Amy Wilson,24316338373,"#1086/A, Twin tulips 18th cross, 14th Main Rd, 3rd sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_121
Wesley Gonzalez,96952230847,"15, Karuna Nagar, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",SKU_65
David Kaufman,88769557857,"Equinox Tech Park SJR Equinox, Velankani Drive, Electronics City Phase 1, Electronic City, Karnataka 560100",SKU_81
Ashley Blanco,93902083557,"1136, 17th Cross Rd, Muneswara Nagar, Sector 7, HSR Layout, Bengaluru, Karnataka 560102",SKU_6
Eric Greenwood,20437532110,"3167, Near ESI Hospital, HAL 2nd Stage, Double Road, Indiranagar, Bangalore",SKU_32
